L 01/06/2021 - 00:28:47: Log file started (file "cstrike/addons/amxmodx/logs/CVARmenu.log") (game "cstrike") (amx "1.9.0.5271")
L 01/11/2021 - 13:03:27: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1 .
L 01/11/2021 - 13:03:27: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1.5 .
L 01/11/2021 - 13:44:56: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
L 01/11/2021 - 15:22:28: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 35 .
L 01/11/2021 - 15:22:28: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 0 .
L 01/11/2021 - 16:24:33: [OFFICIAL] ADMIN Osiris seteaza cvar mp_autoteambalance = 1 .
L 01/11/2021 - 16:24:36: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 0.1 .
L 01/11/2021 - 16:24:36: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 0.5 .
L 01/11/2021 - 16:24:36: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 1 .
L 01/11/2021 - 16:24:36: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 1.5 .
L 01/11/2021 - 16:24:38: [OFFICIAL] ADMIN Osiris seteaza cvar sv_unlag = 0 .
L 01/11/2021 - 16:24:38: [OFFICIAL] ADMIN Osiris seteaza cvar sv_unlag = 1 .
L 01/11/2021 - 16:50:10: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 35 .
L 01/11/2021 - 16:50:14: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_unlag = 0 .
L 01/11/2021 - 16:50:15: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_unlag = 1 .
L 01/11/2021 - 16:54:21: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
L 01/11/2021 - 17:19:26: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_unlag = 0 .
L 01/11/2021 - 17:19:27: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_unlag = 1 .
